دست,بازیکن,کارت‌های دست بازیکن,کارت‌های بازی‌شده,خال حکم,کارت بازی‌شده توسط بازیکن,برنده دست
3,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,7 پیک,0
3,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,4 خشت,0
4,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,9 خشت,2
4,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,9 گشنیز,2
4,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,آس پیک,2
4,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,ملکه خشت,2
5,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,9 پیک,3
5,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,سرباز گشنیز,3
5,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,7 گشنیز,3
5,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,5 دل,3
6,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,7 دل,2
6,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,2 دل,2
6,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,10 دل,2
6,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,ملکه پیک,2
7,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,4 پیک,3
7,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,شاه گشنیز,3
7,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,6 گشنیز,3
7,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,سرباز پیک,3
8,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,7 خشت,0
8,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,5 پیک,0
8,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,10 گشنیز,0
8,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,6 پیک,0
9,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,3 دل,2
9,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,4 دل,2
